id,title,youtubeId,logoUrl,description,tamano,giro,tipo
1,Caso de Exito Pollo Pepe,yuTbIw85kNY,/casos/logo-pp-300x150.png,"Grupo Pepe (Pollo Pepe), empresa nacional líder en el sector restaurantero, recorrió un camino complejo tras operar más de 20 años con un ERP antiguo que frenaba su crecimiento. Para modernizarse, comprendieron que debían trabajar de manera integrada. El reto requería una alineación perfecta para coordinar su estructura de 8 razones sociales, más de 30 RIF’s y 15 contadores a cargo de la contabilidad. Involucrando a un grupo de más de 50 usuarios clave, lograron transformar la distribución de insumos a todos los restaurantes y unificar la operación para sus más de 500 usuarios. Así, alinearon al equipo bajo objetivos comunes para administrarse de manera sistémica, priorizando el beneficio global por sobre cualquier otro objetivo.",Grande,"[Retail, Manufactura]",Implementación
2,Caso de Exito Organización Pollo Pepe,Q4pFOk2UDLs,/casos/logo-pp-300x150.png,"Grupo Pepe (Pollo Pepe), un referente de gran presencia nacional en el ramo restaurantero de comida rápida, asumió el reto de transformar una operación compleja que por más de dos décadas dependió de un software obsoleto. Con el desafío de unificar a muchas razones sociales, múltiples contadores cada uno con necesidades particulares, la dirección de Grupo Pepe entendió que el reto no era tecnológico sino humano. A través de la capacitación estratégica y profunda varias decenas de usuarios clave, lograron estandarizar los procesos comerciales y operativos tanto para sus restaurantes propios como para su red de franquicias. Al involucrar a muchos Key Users, el grupo alineó a toda la organización bajo metas compartidas, consolidando una administración unificada donde el beneficio global guía cada decisión del negocio.",Grande,[Servicios],Implementación
3,Caso de Exito Grupo Rizer,r8Du4BUnVTw,/casos/rizer_logo-300x104.jpg,"Grupo Rizer una empresa con gran presencia a nivel nacional, dedicada a ofrecer principalmente todo tipo de accesorios para celulares y lentes, tuvo que recorrer un desafortunadamente un camino lleno de situaciones negativas para la empresa, después de 2 intentos fallidos, comprendieron la adopcion de un sistema ERP se logra trabajando con las personas pero en equipo, buscando satisfacer a la empresa y no a los departamentos como unidades aisladas y poniendo en primer lugar a las personas, la alineación a objetivos ambiciosos comprendidos por todas las personas de la misma manera, para lograr esto y mucho más, y partiendo de esta base aprender a administrarse de manera sistémica, dando un lugar protagonico al beneficio global por sobre cualquier otro objetivo.",Mediana,"[Retail, Comercialización]",Rescatado
4,Caso de Exito Wholies,lite8AI7WIo,/casos/logo-wholies.jpg,"Wholies, una empresa con gran presencia a nivel nacional, tuvo que recorrer desafortunadamente un camino lleno de situaciones negativas para la organización. Después de varios intentos fallidos y fracasos previos, comprendieron que la adopción de un nuevo sistema y modelo de trabajo se logra transmitiendo y capacitando en habilidades ""blandas"", lo que les permitió generar un cambio cultural profundo en el equipo de trabajo. Pusieron en primer lugar a las personas y la alineación a objetivos comunes, logrando cumplir con los plazos pactados y sin ningún incremento en los costos; partiendo de esta base para aprender a administrarse de manera sistémica, dando un lugar protagónico al beneficio global por sobre cualquier otro objetivo.",Mediana,"[Manufactura, Comercialización]",Rescatado
5,Caso de Exito Inmeza,UTHTeSFQ6fA,/casos/logo-inmeza-copia_244x.avif,"Inmeza una empresa con historia y gran trayectoria en el mercado, dedicada a ofrecer soluciones reales en la industria gastronómica, tuvo que recorrer un muy desafortunadamente y doloroso camino lleno de frustraciones y aprendizajes que le impedían lograr la implementación de su sistema ERP, después de 3 intentos fracasados, comprendieron que la diferencia no la hace un software ni el excesivo desarrollo a la medida, sino más bien un planteo distinto, en el cual deben primar las personas, el trabajo en equipo y la alineación a objetivos empresariales comprendidos del mismo modo en toda la organización para lograr esto y mucho más, y partiendo de esta base aprender a administrarse de manera sistémica, ponderando el beneficio global por sobre cualquier otro objetivo individual.",Mediana,"[Manufactura, Comercialización, Distribución]",
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
